"Country or Area","Year","Value"
"Portugal","1995","3870.13293683273"
"Portugal","1994","3710.3239034478"
"Portugal","1993","3726.1026080876"
"Portugal","1992","3811.99740188301"
"Portugal","1991","3846.462769178"
"Portugal","1990","3885.30243947222"
"Romania","2018","8618.20808596367"
"Romania","2017","7852.58316027756"
"Romania","2016","7512.6018279091"
"Romania","2015","7450.6643820421"
"Romania","2014","7322.67986085253"
"Romania","2013","7602.82814912792"
"Romania","2012","7431.57118606783"
"Romania","2011","8138.51396199966"
"Romania","2010","7792.69044692087"
"Romania","2009","7563.46610400381"
"Romania","2008","8199.8018127893"
"Romania","2007","9395.92004897152"
"Romania","2006","9397.83243753211"
"Romania","2005","10548.539730753"
"Romania","2004","10707.9229497676"
"Romania","2003","9430.40349033312"
"Romania","2002","8730.48885621863"
"Romania","2001","9468.31985457564"
"Romania","2000","9614.32393192816"
"Romania","1999","9130.74783256525"
"Romania","1998","9685.80038832687"
"Romania","1997","10897.2584589082"
"Romania","1996","11225.9273332862"
"Romania","1995","11739.3099076174"
"Romania","1994","11050.8170642143"
"Romania","1993","11874.0412693327"
"Romania","1992","11208.7794550405"
"Romania","1991","11191.1520430234"
"Romania","1990","15881.7433301115"
"Russian Federation","2018","85932.156987611"
"Russian Federation","2017","86252.4322376989"
"Russian Federation","2016","84612.3435579985"
"Russian Federation","2015","81146.128626421"
"Russian Federation","2014","79372.0718573582"
"Russian Federation","2013","78340.7231784369"
"Russian Federation","2012","76729.4705588757"
"Russian Federation","2011","79118.9054446513"
"Russian Federation","2010","75000.1899393541"
"Russian Federation","2009","78130.1139736762"
"Russian Federation","2008","78106.8958802134"
"Russian Federation","2007","75403.1012637421"
"Russian Federation","2006","73605.3291380833"
"Russian Federation","2005","73603.5650704157"
"Russian Federation","2004","74031.894933695"
"Russian Federation","2003","74677.1878481486"
"Russian Federation","2002","76548.3216434592"
"Russian Federation","2001","75942.9965421857"
"Russian Federation","2000","75643.7278509353"
"Russian Federation","1999","73621.5038884474"
"Russian Federation","1998","75243.470993051"
"Russian Federation","1997","82862.0203425014"
"Russian Federation","1996","85502.726743215"
"Russian Federation","1995","91131.7097787117"
"Russian Federation","1994","98666.1260492751"
"Russian Federation","1993","112740.865445494"
"Russian Federation","1992","123504.480743105"
"Russian Federation","1991","136089.361711897"
"Russian Federation","1990","146044.142233086"
"Slovakia","2018","2098.53753605125"
"Slovakia","2017","2016.83044366874"
"Slovakia","2016","2130.39566555919"
"Slovakia","2015","2057.74672752192"
"Slovakia","2014","2116.21335887886"
"Slovakia","2013","1994.54421509769"
"Slovakia","2012","2009.14830129775"
"Slovakia","2011","2083.64525150021"
"Slovakia","2010","2442.79368411064"
"Slovakia","2009","2637.83734757571"
"Slovakia","2008","2965.63076672219"
"Slovakia","2007","3011.86314627107"
"Slovakia","2006","3145.34469232906"
"Slovakia","2005","2920.54411493021"
"Slovakia","2004","2981.11474075125"
"Slovakia","2003","2741.64713250938"
"Slovakia","2002","2757.69175752299"
"Slovakia","2001","2819.07138811416"
"Slovakia","2000","2550.44783871457"
"Slovakia","1999","2337.69449177762"
"Slovakia","1998","2775.42801480561"
"Slovakia","1997","3082.00769620817"
"Slovakia","1996","3082.86766468192"
"Slovakia","1995","2899.93551787931"
"Slovakia","1994","2767.71394672968"
"Slovakia","1993","2308.36208171088"
"Slovakia","1992","2774.56008482662"
"Slovakia","1991","3391.55794574526"
"Slovakia","1990","4313.61871041824"
"Slovenia","2018","753.48263605139"
"Slovenia","2017","735.197662306485"
"Slovenia","2016","760.721344596285"
"Slovenia","2015","752.778696596224"
"Slovenia","2014","730.356907000237"
"Slovenia","2013","722.451995857055"
"Slovenia","2012","750.223640341129"
"Slovenia","2011","747.128052295375"
"Slovenia","2010","735.558418284803"
"Slovenia","2009","744.669577616301"
"Slovenia","2008","752.364274750608"
"Slovenia","2007","790.590715452496"
"Slovenia","2006","783.060626250111"
"Slovenia","2005","771.22869954195"
"Slovenia","2004","767.413240970824"
"Slovenia","2003","790.675120135623"
"Slovenia","2002","818.955010707144"
"Slovenia","2001","891.598599186792"
"Slovenia","2000","903.357923447034"
"Slovenia","1999","871.204885910096"
"Slovenia","1998","875.636770983188"
